,PERIODO_EVASAO,DT_EVASAO,ALUNOS,ANO,INICIO,FIM,MES_EVASAO
0,2003.1,2003-01-06,4,2003,2003-01-01,2003-12-31,2003-01
1,2003.2,2003-01-08,1,2003,2003-01-01,2003-12-31,2003-01
2,2004.2,2004-11-30,1,2004,2004-01-01,2004-12-31,2004-11
3,2004.2,2004-12-20,1,2004,2004-01-01,2004-12-31,2004-12
4,2005.1,2005-03-30,7,2005,2005-01-01,2005-12-31,2005-03
5,2005.1,2005-05-28,2,2005,2005-01-01,2005-12-31,2005-05
6,2005.1,2005-07-28,1,2005,2005-01-01,2005-12-31,2005-07
7,2005.2,2005-03-12,3,2005,2005-01-01,2005-12-31,2005-03
8,2005.2,2005-08-15,1,2005,2005-01-01,2005-12-31,2005-08
9,2006.1,2006-03-03,1,2006,2006-01-01,2006-12-31,2006-03
10,2006.1,2006-03-23,1,2006,2006-01-01,2006-12-31,2006-03
11,2006.1,2006-05-22,1,2006,2006-01-01,2006-12-31,2006-05
12,2006.1,2006-05-25,1,2006,2006-01-01,2006-12-31,2006-05
13,2006.1,2006-06-20,1,2006,2006-01-01,2006-12-31,2006-06
14,2006.1,2006-08-03,1,2006,2006-01-01,2006-12-31,2006-08
15,2006.1,2006-10-03,3,2006,2006-01-01,2006-12-31,2006-10
16,2006.2,2006-08-21,4,2006,2006-01-01,2006-12-31,2006-08
17,2006.2,2006-12-17,1,2006,2006-01-01,2006-12-31,2006-12
18,2007.1,2007-03-26,1,2007,2007-01-01,2007-12-31,2007-03
19,2007.2,2007-02-10,1,2007,2007-01-01,2007-12-31,2007-02
20,2007.2,2007-10-12,1,2007,2007-01-01,2007-12-31,2007-10
21,2007.2,2007-11-12,1,2007,2007-01-01,2007-12-31,2007-11
22,2007.2,2007-12-12,1,2007,2007-01-01,2007-12-31,2007-12
23,2008.1,2008-03-24,1,2008,2008-01-01,2008-12-31,2008-03
24,2008.1,2008-05-06,1,2008,2008-01-01,2008-12-31,2008-05
25,2008.2,2008-10-12,1,2008,2008-01-01,2008-12-31,2008-10
26,2008.2,2008-12-16,1,2008,2008-01-01,2008-12-31,2008-12
27,2008.2,2008-12-18,2,2008,2008-01-01,2008-12-31,2008-12
28,2008.2,2008-12-19,2,2008,2008-01-01,2008-12-31,2008-12
29,2008.2,2008-12-20,2,2008,2008-01-01,2008-12-31,2008-12
30,2009.1,2009-02-17,1,2009,2009-01-01,2009-12-31,2009-02
31,2009.1,2009-02-19,1,2009,2009-01-01,2009-12-31,2009-02
32,2009.1,2009-03-26,2,2009,2009-01-01,2009-12-31,2009-03
33,2009.1,2009-03-27,2,2009,2009-01-01,2009-12-31,2009-03
34,2009.1,2009-04-14,2,2009,2009-01-01,2009-12-31,2009-04
35,2009.1,2009-04-16,6,2009,2009-01-01,2009-12-31,2009-04
36,2009.1,2009-04-17,1,2009,2009-01-01,2009-12-31,2009-04
37,2009.1,2009-05-13,1,2009,2009-01-01,2009-12-31,2009-05
38,2009.1,2009-10-02,1,2009,2009-01-01,2009-12-31,2009-10
39,2009.1,2009-12-03,1,2009,2009-01-01,2009-12-31,2009-12
40,2009.2,2009-04-11,2,2009,2009-01-01,2009-12-31,2009-04
41,2009.2,2009-08-08,7,2009,2009-01-01,2009-12-31,2009-08
42,2009.2,2009-09-14,6,2009,2009-01-01,2009-12-31,2009-09
43,2009.2,2009-12-21,7,2009,2009-01-01,2009-12-31,2009-12
44,2010.1,2010-02-24,5,2010,2010-01-01,2010-12-31,2010-02
45,2010.1,2010-03-09,1,2010,2010-01-01,2010-12-31,2010-03
46,2010.1,2010-04-03,2,2010,2010-01-01,2010-12-31,2010-04
47,2010.1,2010-04-15,1,2010,2010-01-01,2010-12-31,2010-04
48,2010.1,2010-05-03,1,2010,2010-01-01,2010-12-31,2010-05
49,2010.1,2010-07-06,1,2010,2010-01-01,2010-12-31,2010-07
50,2010.1,2010-07-15,1,2010,2010-01-01,2010-12-31,2010-07
51,2010.1,2010-07-21,1,2010,2010-01-01,2010-12-31,2010-07
52,2010.1,2010-09-05,1,2010,2010-01-01,2010-12-31,2010-09
53,2010.1,2010-09-13,4,2010,2010-01-01,2010-12-31,2010-09
54,2010.1,2010-09-15,2,2010,2010-01-01,2010-12-31,2010-09
55,2010.2,2010-07-16,1,2010,2010-01-01,2010-12-31,2010-07
56,2010.2,2010-12-21,4,2010,2010-01-01,2010-12-31,2010-12
57,2010.2,2010-12-27,10,2010,2010-01-01,2010-12-31,2010-12
58,2011.1,2011-01-04,1,2011,2011-01-01,2011-12-31,2011-01
59,2011.1,2011-01-26,1,2011,2011-01-01,2011-12-31,2011-01
60,2011.1,2011-01-27,2,2011,2011-01-01,2011-12-31,2011-01
61,2011.1,2011-02-21,1,2011,2011-01-01,2011-12-31,2011-02
62,2011.1,2011-03-21,1,2011,2011-01-01,2011-12-31,2011-03
63,2011.1,2011-04-19,1,2011,2011-01-01,2011-12-31,2011-04
64,2011.1,2011-04-25,7,2011,2011-01-01,2011-12-31,2011-04
65,2011.1,2011-06-13,1,2011,2011-01-01,2011-12-31,2011-06
66,2011.1,2011-06-29,8,2011,2011-01-01,2011-12-31,2011-06
67,2011.1,2011-07-15,28,2011,2011-01-01,2011-12-31,2011-07
68,2011.1,2011-10-06,4,2011,2011-01-01,2011-12-31,2011-10
69,2011.2,2011-04-10,1,2011,2011-01-01,2011-12-31,2011-04
70,2011.2,2011-05-10,1,2011,2011-01-01,2011-12-31,2011-05
71,2011.2,2011-08-08,1,2011,2011-01-01,2011-12-31,2011-08
72,2011.2,2011-08-25,1,2011,2011-01-01,2011-12-31,2011-08
73,2011.2,2011-09-20,1,2011,2011-01-01,2011-12-31,2011-09
74,2011.2,2011-09-23,1,2011,2011-01-01,2011-12-31,2011-09
75,2011.2,2011-09-27,9,2011,2011-01-01,2011-12-31,2011-09
76,2011.2,2011-09-29,16,2011,2011-01-01,2011-12-31,2011-09
77,2011.2,2011-10-17,1,2011,2011-01-01,2011-12-31,2011-10
78,2011.2,2011-12-15,1,2011,2011-01-01,2011-12-31,2011-12
79,2011.2,2011-12-19,5,2011,2011-01-01,2011-12-31,2011-12
80,2011.2,2011-12-29,1,2011,2011-01-01,2011-12-31,2011-12
81,2012.1,2012-01-23,1,2012,2012-01-01,2012-12-31,2012-01
82,2012.1,2012-01-24,2,2012,2012-01-01,2012-12-31,2012-01
83,2012.1,2012-02-24,2,2012,2012-01-01,2012-12-31,2012-02
84,2012.1,2012-03-22,1,2012,2012-01-01,2012-12-31,2012-03
85,2012.1,2012-04-25,1,2012,2012-01-01,2012-12-31,2012-04
86,2012.1,2012-05-15,10,2012,2012-01-01,2012-12-31,2012-05
87,2012.1,2012-05-21,2,2012,2012-01-01,2012-12-31,2012-05
88,2012.1,2012-05-29,3,2012,2012-01-01,2012-12-31,2012-05
89,2012.1,2012-06-02,1,2012,2012-01-01,2012-12-31,2012-06
90,2012.1,2012-06-03,1,2012,2012-01-01,2012-12-31,2012-06
91,2012.1,2012-09-25,4,2012,2012-01-01,2012-12-31,2012-09
92,2012.2,2012-05-10,1,2012,2012-01-01,2012-12-31,2012-05
93,2012.2,2012-08-29,1,2012,2012-01-01,2012-12-31,2012-08
94,2012.2,2012-11-12,6,2012,2012-01-01,2012-12-31,2012-11
95,2012.2,2012-12-18,2,2012,2012-01-01,2012-12-31,2012-12
96,2012.2,2013-01-02,1,2013,2013-01-01,2013-12-31,2013-01
97,2012.2,2013-01-30,6,2013,2013-01-01,2013-12-31,2013-01
98,2012.2,2013-10-01,1,2013,2013-01-01,2013-12-31,2013-10
99,2013.1,2013-02-21,1,2013,2013-01-01,2013-12-31,2013-02
100,2013.1,2013-03-07,1,2013,2013-01-01,2013-12-31,2013-03
101,2013.1,2013-03-13,1,2013,2013-01-01,2013-12-31,2013-03
102,2013.1,2013-04-19,1,2013,2013-01-01,2013-12-31,2013-04
103,2013.1,2013-05-07,1,2013,2013-01-01,2013-12-31,2013-05
104,2013.1,2013-05-17,5,2013,2013-01-01,2013-12-31,2013-05
105,2013.1,2013-05-21,2,2013,2013-01-01,2013-12-31,2013-05
106,2013.1,2013-06-08,1,2013,2013-01-01,2013-12-31,2013-06
107,2013.1,2013-06-25,1,2013,2013-01-01,2013-12-31,2013-06
108,2013.1,2013-07-29,1,2013,2013-01-01,2013-12-31,2013-07
109,2013.1,2013-07-30,1,2013,2013-01-01,2013-12-31,2013-07
110,2013.1,2013-08-07,1,2013,2013-01-01,2013-12-31,2013-08
111,2013.1,2013-08-23,27,2013,2013-01-01,2013-12-31,2013-08
112,2013.1,2013-08-28,3,2013,2013-01-01,2013-12-31,2013-08
113,2013.1,2013-09-05,1,2013,2013-01-01,2013-12-31,2013-09
114,2013.1,2013-10-04,7,2013,2013-01-01,2013-12-31,2013-10
115,2013.1,2013-11-07,1,2013,2013-01-01,2013-12-31,2013-11
116,2013.2,2013-02-22,1,2013,2013-01-01,2013-12-31,2013-02
117,2013.2,2013-03-09,1,2013,2013-01-01,2013-12-31,2013-03
118,2013.2,2013-04-20,1,2013,2013-01-01,2013-12-31,2013-04
119,2013.2,2013-06-08,1,2013,2013-01-01,2013-12-31,2013-06
120,2013.2,2013-08-16,2,2013,2013-01-01,2013-12-31,2013-08
121,2013.2,2013-10-10,13,2013,2013-01-01,2013-12-31,2013-10
122,2013.2,2013-10-21,9,2013,2013-01-01,2013-12-31,2013-10
123,2013.2,2013-10-31,1,2013,2013-01-01,2013-12-31,2013-10
124,2013.2,2013-11-09,1,2013,2013-01-01,2013-12-31,2013-11
125,2013.2,2013-11-18,4,2013,2013-01-01,2013-12-31,2013-11
126,2014.1,2014-02-19,13,2014,2014-01-01,2014-12-31,2014-02
127,2014.1,2014-02-26,7,2014,2014-01-01,2014-12-31,2014-02
128,2014.1,2014-02-27,2,2014,2014-01-01,2014-12-31,2014-02
129,2014.1,2014-03-06,1,2014,2014-01-01,2014-12-31,2014-03
130,2014.1,2014-03-14,2,2014,2014-01-01,2014-12-31,2014-03
131,2014.1,2014-03-20,1,2014,2014-01-01,2014-12-31,2014-03
132,2014.1,2014-03-31,1,2014,2014-01-01,2014-12-31,2014-03
133,2014.1,2014-04-24,1,2014,2014-01-01,2014-12-31,2014-04
134,2014.1,2014-05-19,1,2014,2014-01-01,2014-12-31,2014-05
135,2014.1,2014-05-26,1,2014,2014-01-01,2014-12-31,2014-05
136,2014.1,2014-05-29,14,2014,2014-01-01,2014-12-31,2014-05
137,2014.1,2014-06-02,1,2014,2014-01-01,2014-12-31,2014-06
138,2014.1,2014-09-06,2,2014,2014-01-01,2014-12-31,2014-09
139,2014.1,2014-10-03,3,2014,2014-01-01,2014-12-31,2014-10
140,2014.1,2014-10-04,1,2014,2014-01-01,2014-12-31,2014-10
141,2014.1,2014-12-02,1,2014,2014-01-01,2014-12-31,2014-12
142,2014.2,2014-05-08,1,2014,2014-01-01,2014-12-31,2014-05
143,2014.2,2014-06-08,14,2014,2014-01-01,2014-12-31,2014-06
144,2014.2,2014-07-10,1,2014,2014-01-01,2014-12-31,2014-07
145,2014.2,2014-07-28,2,2014,2014-01-01,2014-12-31,2014-07
146,2014.2,2014-08-20,1,2014,2014-01-01,2014-12-31,2014-08
147,2014.2,2014-09-24,1,2014,2014-01-01,2014-12-31,2014-09
148,2014.2,2014-09-29,1,2014,2014-01-01,2014-12-31,2014-09
149,2014.2,2014-09-30,1,2014,2014-01-01,2014-12-31,2014-09
150,2014.2,2014-10-14,1,2014,2014-01-01,2014-12-31,2014-10
151,2014.2,2014-12-16,1,2014,2014-01-01,2014-12-31,2014-12
152,2014.2,2014-12-29,4,2014,2014-01-01,2014-12-31,2014-12
153,2015.1,2015-03-02,1,2015,2015-01-01,2015-12-31,2015-03
154,2015.1,2015-03-17,20,2015,2015-01-01,2015-12-31,2015-03
155,2015.1,2015-03-23,3,2015,2015-01-01,2015-12-31,2015-03
156,2015.1,2015-04-02,4,2015,2015-01-01,2015-12-31,2015-04
157,2015.1,2015-04-16,1,2015,2015-01-01,2015-12-31,2015-04
158,2015.1,2015-04-29,1,2015,2015-01-01,2015-12-31,2015-04
159,2015.1,2015-04-30,2,2015,2015-01-01,2015-12-31,2015-04
160,2015.1,2015-05-02,1,2015,2015-01-01,2015-12-31,2015-05
161,2015.1,2015-05-19,1,2015,2015-01-01,2015-12-31,2015-05
162,2015.1,2015-11-07,1,2015,2015-01-01,2015-12-31,2015-11
163,2015.2,2015-06-10,2,2015,2015-01-01,2015-12-31,2015-06
164,2015.2,2015-09-23,1,2015,2015-01-01,2015-12-31,2015-09
165,2015.2,2015-09-24,1,2015,2015-01-01,2015-12-31,2015-09
166,2015.2,2015-10-16,1,2015,2015-01-01,2015-12-31,2015-10
167,2015.2,2015-10-22,18,2015,2015-01-01,2015-12-31,2015-10
168,2015.2,2015-10-27,11,2015,2015-01-01,2015-12-31,2015-10
169,2015.2,2015-11-11,1,2015,2015-01-01,2015-12-31,2015-11
170,2015.2,2015-12-17,2,2015,2015-01-01,2015-12-31,2015-12
171,2016.1,2016-02-23,10,2016,2016-01-01,2016-12-31,2016-02
172,2016.1,2016-02-25,2,2016,2016-01-01,2016-12-31,2016-02
173,2016.1,2016-02-26,1,2016,2016-01-01,2016-12-31,2016-02
174,2016.1,2016-03-29,1,2016,2016-01-01,2016-12-31,2016-03
175,2016.1,2016-03-30,1,2016,2016-01-01,2016-12-31,2016-03
176,2016.1,2016-04-02,1,2016,2016-01-01,2016-12-31,2016-04
177,2016.1,2016-04-04,1,2016,2016-01-01,2016-12-31,2016-04
178,2016.1,2016-04-28,2,2016,2016-01-01,2016-12-31,2016-04
179,2016.1,2016-05-25,1,2016,2016-01-01,2016-12-31,2016-05
180,2016.1,2016-06-13,1,2016,2016-01-01,2016-12-31,2016-06
181,2016.1,2016-06-15,1,2016,2016-01-01,2016-12-31,2016-06
182,2016.1,2016-06-24,28,2016,2016-01-01,2016-12-31,2016-06
183,2016.1,2016-07-03,2,2016,2016-01-01,2016-12-31,2016-07
184,2016.1,2016-07-06,1,2016,2016-01-01,2016-12-31,2016-07
185,2016.1,2016-11-04,3,2016,2016-01-01,2016-12-31,2016-11
186,2016.2,2016-04-07,1,2016,2016-01-01,2016-12-31,2016-04
187,2016.2,2016-06-09,1,2016,2016-01-01,2016-12-31,2016-06
188,2016.2,2016-07-18,2,2016,2016-01-01,2016-12-31,2016-07
189,2016.2,2016-08-11,3,2016,2016-01-01,2016-12-31,2016-08
190,2016.2,2016-08-29,7,2016,2016-01-01,2016-12-31,2016-08
191,2016.2,2016-08-30,1,2016,2016-01-01,2016-12-31,2016-08
192,2016.2,2016-10-13,2,2016,2016-01-01,2016-12-31,2016-10
193,2016.2,2016-10-14,1,2016,2016-01-01,2016-12-31,2016-10
194,2016.2,2016-10-17,2,2016,2016-01-01,2016-12-31,2016-10
195,2017.1,2017-02-13,9,2017,2017-01-01,2017-12-31,2017-02
196,2017.1,2017-02-22,1,2017,2017-01-01,2017-12-31,2017-02
197,2017.1,2017-02-23,1,2017,2017-01-01,2017-12-31,2017-02
198,2017.1,2017-03-03,1,2017,2017-01-01,2017-12-31,2017-03
199,2017.1,2017-03-13,1,2017,2017-01-01,2017-12-31,2017-03
200,2017.1,2017-03-15,1,2017,2017-01-01,2017-12-31,2017-03
201,2017.1,2017-03-21,1,2017,2017-01-01,2017-12-31,2017-03
202,2017.1,2017-03-31,1,2017,2017-01-01,2017-12-31,2017-03
203,2017.1,2017-04-07,4,2017,2017-01-01,2017-12-31,2017-04
204,2017.1,2017-04-19,1,2017,2017-01-01,2017-12-31,2017-04
205,2017.1,2017-04-25,4,2017,2017-01-01,2017-12-31,2017-04
206,2017.1,2017-05-17,1,2017,2017-01-01,2017-12-31,2017-05
207,2017.1,2017-06-04,1,2017,2017-01-01,2017-12-31,2017-06
208,2017.1,2017-06-26,4,2017,2017-01-01,2017-12-31,2017-06
209,2017.1,2017-07-04,1,2017,2017-01-01,2017-12-31,2017-07
210,2017.1,2017-10-03,6,2017,2017-01-01,2017-12-31,2017-10
211,2017.1,2017-12-06,5,2017,2017-01-01,2017-12-31,2017-12
212,2017.2,2017-04-09,1,2017,2017-01-01,2017-12-31,2017-04
213,2017.2,2017-06-07,1,2017,2017-01-01,2017-12-31,2017-06
214,2017.2,2017-07-28,1,2017,2017-01-01,2017-12-31,2017-07
215,2017.2,2017-08-15,1,2017,2017-01-01,2017-12-31,2017-08
216,2017.2,2017-08-21,2,2017,2017-01-01,2017-12-31,2017-08
217,2017.2,2017-08-29,2,2017,2017-01-01,2017-12-31,2017-08
218,2017.2,2017-08-30,12,2017,2017-01-01,2017-12-31,2017-08
219,2017.2,2017-09-10,1,2017,2017-01-01,2017-12-31,2017-09
220,2017.2,2017-09-25,1,2017,2017-01-01,2017-12-31,2017-09
221,2017.2,2017-10-26,1,2017,2017-01-01,2017-12-31,2017-10
222,2017.2,2017-11-27,5,2017,2017-01-01,2017-12-31,2017-11
223,2017.2,2018-02-04,1,2018,2018-01-01,2018-12-31,2018-02
224,2017.2,2018-03-23,14,2018,2018-01-01,2018-12-31,2018-03
225,2017.2,2018-03-28,2,2018,2018-01-01,2018-12-31,2018-03
226,2018.1,2018-03-21,1,2018,2018-01-01,2018-12-31,2018-03
227,2018.1,2018-04-07,1,2018,2018-01-01,2018-12-31,2018-04
228,2018.1,2018-04-12,1,2018,2018-01-01,2018-12-31,2018-04
229,2018.1,2018-04-27,2,2018,2018-01-01,2018-12-31,2018-04
230,2018.1,2018-05-14,13,2018,2018-01-01,2018-12-31,2018-05
231,2018.1,2018-05-16,1,2018,2018-01-01,2018-12-31,2018-05
232,2018.1,2018-06-26,1,2018,2018-01-01,2018-12-31,2018-06
233,2018.1,2018-09-05,1,2018,2018-01-01,2018-12-31,2018-09
234,2018.1,2018-09-17,9,2018,2018-01-01,2018-12-31,2018-09
235,2018.1,2018-09-28,1,2018,2018-01-01,2018-12-31,2018-09
236,2018.1,2018-11-07,2,2018,2018-01-01,2018-12-31,2018-11
237,2018.2,2018-07-13,1,2018,2018-01-01,2018-12-31,2018-07
238,2018.2,2018-08-13,1,2018,2018-01-01,2018-12-31,2018-08
239,2018.2,2018-08-22,2,2018,2018-01-01,2018-12-31,2018-08
240,2018.2,2018-08-24,1,2018,2018-01-01,2018-12-31,2018-08
241,2018.2,2018-09-13,1,2018,2018-01-01,2018-12-31,2018-09
242,2018.2,2018-09-27,1,2018,2018-01-01,2018-12-31,2018-09
243,2018.2,2018-09-28,1,2018,2018-01-01,2018-12-31,2018-09
244,2018.2,2018-10-18,14,2018,2018-01-01,2018-12-31,2018-10
245,2018.2,2019-02-07,1,2019,2019-01-01,2019-12-31,2019-02
246,2018.2,2019-03-04,1,2019,2019-01-01,2019-12-31,2019-03
247,2018.2,2019-05-20,4,2019,2019-01-01,2019-12-31,2019-05
248,2018.2,2019-05-28,1,2019,2019-01-01,2019-12-31,2019-05
249,2018.2,2019-09-25,1,2019,2019-01-01,2019-12-31,2019-09
250,2018.2,2019-11-04,6,2019,2019-01-01,2019-12-31,2019-11
251,2018.2,2019-11-22,1,2019,2019-01-01,2019-12-31,2019-11
252,2019.1,2019-01-31,1,2019,2019-01-01,2019-12-31,2019-01
253,2019.1,2019-02-18,1,2019,2019-01-01,2019-12-31,2019-02
254,2019.1,2019-03-19,1,2019,2019-01-01,2019-12-31,2019-03
255,2019.1,2019-04-09,10,2019,2019-01-01,2019-12-31,2019-04
256,2019.1,2019-05-02,1,2019,2019-01-01,2019-12-31,2019-05
257,2019.1,2019-05-20,15,2019,2019-01-01,2019-12-31,2019-05
258,2019.1,2019-06-19,1,2019,2019-01-01,2019-12-31,2019-06
259,2019.1,2019-08-04,1,2019,2019-01-01,2019-12-31,2019-08
260,2019.1,2019-08-05,1,2019,2019-01-01,2019-12-31,2019-08
261,2019.1,2019-08-27,1,2019,2019-01-01,2019-12-31,2019-08
262,2019.1,2019-09-09,1,2019,2019-01-01,2019-12-31,2019-09
263,2019.1,2019-10-06,1,2019,2019-01-01,2019-12-31,2019-10
264,2019.1,2019-12-04,1,2019,2019-01-01,2019-12-31,2019-12
265,2019.2,2019-08-27,1,2019,2019-01-01,2019-12-31,2019-08
266,2019.2,2019-09-23,1,2019,2019-01-01,2019-12-31,2019-09
267,2019.2,2019-10-21,13,2019,2019-01-01,2019-12-31,2019-10
268,2019.2,2019-11-14,1,2019,2019-01-01,2019-12-31,2019-11
269,2019.2,2019-11-22,1,2019,2019-01-01,2019-12-31,2019-11
270,2019.2,2020-02-10,12,2020,2020-01-01,2020-12-31,2020-02
271,2019.2,2020-10-22,3,2020,2020-01-01,2020-12-31,2020-10
272,2019.2,2020-10-26,2,2020,2020-01-01,2020-12-31,2020-10
273,2019.2,2021-03-30,1,2021,2021-01-01,2021-12-31,2021-03
274,2020.1,2020-02-17,2,2020,2020-01-01,2020-12-31,2020-02
275,2020.1,2020-06-03,1,2020,2020-01-01,2020-12-31,2020-06
276,2020.1,2020-07-09,2,2020,2020-01-01,2020-12-31,2020-07
277,2020.1,2020-07-20,1,2020,2020-01-01,2020-12-31,2020-07
278,2020.1,2020-07-28,1,2020,2020-01-01,2020-12-31,2020-07
279,2020.1,2020-09-12,1,2020,2020-01-01,2020-12-31,2020-09
280,2020.1,2021-02-15,1,2021,2021-01-01,2021-12-31,2021-02
281,2020.1,2021-03-16,1,2021,2021-01-01,2021-12-31,2021-03
282,2020.1,2021-04-21,4,2021,2021-01-01,2021-12-31,2021-04
283,2020.1,2021-04-28,1,2021,2021-01-01,2021-12-31,2021-04
284,2020.1,2021-05-05,1,2021,2021-01-01,2021-12-31,2021-05
285,2020.1,2021-06-07,2,2021,2021-01-01,2021-12-31,2021-06
286,2020.1,2021-07-13,1,2021,2021-01-01,2021-12-31,2021-07
287,2020.2,2021-02-24,1,2021,2021-01-01,2021-12-31,2021-02
288,2020.2,2021-03-19,1,2021,2021-01-01,2021-12-31,2021-03
289,2020.2,2021-04-19,1,2021,2021-01-01,2021-12-31,2021-04
290,2020.2,2021-04-30,1,2021,2021-01-01,2021-12-31,2021-04
291,2021.1,2021-07-21,2,2021,2021-01-01,2021-12-31,2021-07
292,2021.1,2021-07-23,1,2021,2021-01-01,2021-12-31,2021-07
293,2021.1,2021-12-08,1,2021,2021-01-01,2021-12-31,2021-12
294,2021.2,2021-08-11,1,2021,2021-01-01,2021-12-31,2021-08
295,2021.2,2021-11-22,1,2021,2021-01-01,2021-12-31,2021-11
296,2021.2,2021-11-24,1,2021,2021-01-01,2021-12-31,2021-11
